City_ID,city,country,temperature,description,latitude,longitude,Hotel Name
356,nueva concepcion,GT,89.6,scattered clouds,14.2,-91.3,Hotel Villa Las Flores
358,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
359,kathu,TH,87.01,few clouds,7.92,98.33,Novotel Phuket Resort
360,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
363,xushan,CN,86.0,clear sky,30.18,121.25,Hangzhou Bay Hotel
367,kudahuvadhoo,MV,83.01,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
369,seminole,US,93.99,broken clouds,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
370,vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
371,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
372,dakar,SN,82.4,broken clouds,14.69,-17.44,Novotel Dakar
373,yamada,JP,76.01,few clouds,39.47,141.95,Iroha-ya Inn
374,tura,IN,74.93,light rain,25.52,90.22,Hotel RIKMAN Continental
375,mar del plata,AR,55.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
376,salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
377,oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
378,hilo,US,80.6,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
379,kapit,MY,72.88,light rain,2.02,112.93,Hotel Meligai Kapit
381,albany,US,78.01,scattered clouds,42.6,-73.97,
382,torbay,CA,66.99,few clouds,47.67,-52.73,Gallows Cove
384,cap malheureux,MU,73.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
386,hobart,AU,60.01,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
387,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
388,santana do acarau,BR,99.95,clear sky,-3.46,-40.21,Chácara Mister Juan
389,bend,US,75.2,clear sky,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
390,funadhoo,MV,82.72,overcast clouds,6.15,73.27,Dhaffalhu Tourist Lodge
391,port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
393,butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
395,castro,BR,80.65,few clouds,-24.79,-50.01,CHACARA BAILLY
397,arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
398,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
400,severo-kurilsk,RU,52.77,scattered clouds,50.68,156.12,Kak Doma
401,chuy,UY,57.87,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
403,arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
406,kieta,PG,79.02,scattered clouds,-6.22,155.63,
409,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
410,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
411,ponta do sol,PT,75.0,scattered clouds,32.67,-17.1,Hotel do Campo
412,garowe,SO,83.46,overcast clouds,8.41,48.48,Curubo Hotel
413,karratha,AU,72.54,clear sky,-20.74,116.85,ibis Styles Karratha
415,carahue,CL,55.4,scattered clouds,-38.7,-73.17,Hospedaje Familiar
416,avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
417,faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
418,torbay,CA,66.99,few clouds,47.67,-52.73,Gallows Cove
419,pemangkat,ID,76.39,overcast clouds,1.17,108.97,Kost H.Syamsuddin
422,butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
423,cairns,AU,69.8,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
424,banda aceh,ID,80.47,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
427,vestmanna,FO,51.8,drizzle,62.16,-7.17,Budget Guesthouse Borgustova
428,ponta do sol,PT,75.0,scattered clouds,32.67,-17.1,Hotel do Campo
429,muzhi,RU,52.27,overcast clouds,65.37,64.67,
430,castro,BR,80.65,few clouds,-24.79,-50.01,CHACARA BAILLY
433,ribeira grande,PT,71.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
