city,country,temperature,description,latitude,longitude,Hotel Name
port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
castro,BR,80.65,few clouds,-24.79,-50.01,CHACARA BAILLY
arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
severo-kurilsk,RU,52.77,scattered clouds,50.68,156.12,Kak Doma
chuy,UY,57.87,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
kieta,PG,79.02,scattered clouds,-6.22,155.63,
kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
ponta do sol,PT,75.0,scattered clouds,32.67,-17.1,Hotel do Campo
garowe,SO,83.46,overcast clouds,8.41,48.48,Curubo Hotel
karratha,AU,72.54,clear sky,-20.74,116.85,ibis Styles Karratha
carahue,CL,55.4,scattered clouds,-38.7,-73.17,Hospedaje Familiar
avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
torbay,CA,66.99,few clouds,47.67,-52.73,Gallows Cove
pemangkat,ID,76.39,overcast clouds,1.17,108.97,Kost H.Syamsuddin
butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
cairns,AU,69.8,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
banda aceh,ID,80.47,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
vestmanna,FO,51.8,drizzle,62.16,-7.17,Budget Guesthouse Borgustova
ponta do sol,PT,75.0,scattered clouds,32.67,-17.1,Hotel do Campo
muzhi,RU,52.27,overcast clouds,65.37,64.67,
castro,BR,80.65,few clouds,-24.79,-50.01,CHACARA BAILLY
ribeira grande,PT,71.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
ribeira grande,PT,71.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
albany,US,78.01,scattered clouds,42.6,-73.97,
ponta do sol,PT,75.0,scattered clouds,32.67,-17.1,Hotel do Campo
jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
necochea,AR,61.0,clear sky,-38.55,-58.74,dyd -mar Hotel
norman wells,CA,51.8,overcast clouds,65.28,-126.83,Heritage Hotel
bengkulu,ID,76.1,light rain,-3.8,102.27,Grage Hotel Bengkulu
laela,TZ,67.1,broken clouds,-8.57,32.05,
rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
erzin,TR,84.0,clear sky,36.96,36.2,Artemis Otel
san quintin,MX,81.97,clear sky,30.48,-115.95,Old Mill Hotel
albany,US,78.01,scattered clouds,42.6,-73.97,
puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
port elizabeth,ZA,59.0,few clouds,-33.92,25.57,39 On Nile Guest House
fortuna,US,86.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
albany,US,78.01,scattered clouds,42.6,-73.97,
laguna,US,93.99,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
broome,US,79.0,clear sky,42.25,-75.83,Chenango Valley State Park
hilo,US,80.6,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
arawa,PG,77.4,scattered clouds,-6.21,155.54,Coastline Guest House
severo-kurilsk,RU,52.77,scattered clouds,50.68,156.12,Kak Doma
yellowknife,CA,51.01,broken clouds,62.46,-114.35,The Explorer Hotel
hobyo,SO,76.32,few clouds,5.35,48.53,Osmani Hotel
luorong,CN,75.85,light rain,24.41,109.61,荣立大酒店
makuyuni,TZ,69.58,few clouds,-4.73,38.1,
guerrero negro,MX,88.11,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
